"Executed Date","BOROUGH","count"
"10/10/2024","STATEN ISLAND","7"
"08/17/2017","BRONX","38"
"04/03/2024","BROOKLYN","27"
"03/04/2022","QUEENS","1"
"10/24/2024","MANHATTAN","27"
"12/04/2019","BROOKLYN","47"
"04/05/2017","BRONX","43"
"05/03/2018","QUEENS","17"
"08/01/2023","QUEENS","10"
"01/24/2018","QUEENS","21"
"07/27/2023","BRONX","34"
"05/22/2023","BRONX","4"
"07/14/2017","BRONX","32"
"07/08/2025","BROOKLYN","2"
"09/08/2022","QUEENS","3"
"10/18/2018","BRONX","25"
"12/20/2019","QUEENS","5"
"10/06/2017","BROOKLYN","27"
"01/15/2020","QUEENS","18"
"08/27/2024","BROOKLYN","13"
"05/09/2017","QUEENS","2"
"01/04/2023","QUEENS","5"
"04/04/2018","STATEN ISLAND","1"
"10/23/2023","BRONX","26"
"02/26/2019","QUEENS","16"
"02/20/2024","QUEENS","23"
"03/14/2018","QUEENS","12"
"11/14/2019","STATEN ISLAND","2"
"07/19/2018","STATEN ISLAND","1"
"08/17/2017","BROOKLYN","25"
"08/24/2021","QUEENS","1"
"06/01/2022","STATEN ISLAND","2"
"08/29/2024","BROOKLYN","5"
"08/30/2023","BRONX","24"
"12/18/2023","QUEENS","11"
"01/12/2017","BROOKLYN","28"
"05/31/2024","BROOKLYN","36"
"06/12/2025","MANHATTAN","7"
"10/08/2019","BROOKLYN","20"
"10/02/2019","MANHATTAN","8"
"11/22/2021","MANHATTAN","1"
"10/08/2024","MANHATTAN","30"
"02/28/2023","BRONX","8"
"09/12/2023","BRONX","60"
"09/21/2018","MANHATTAN","6"
"12/12/2023","BRONX","42"
"05/04/2017","QUEENS","15"
"04/12/2017","BRONX","36"
"11/08/2018","BRONX","32"
"12/18/2018","BRONX","50"
"01/19/2018","STATEN ISLAND","3"
"08/21/2017","BROOKLYN","24"
"12/05/2019","STATEN ISLAND","1"
"03/05/2019","BROOKLYN","23"
"11/03/2022","BROOKLYN","16"
"01/05/2024","MANHATTAN","21"
"09/29/2017","QUEENS","23"
"12/19/2022","QUEENS","6"
"12/15/2022","BROOKLYN","17"
"05/31/2018","BROOKLYN","16"
"05/03/2019","MANHATTAN","2"
"09/26/2024","MANHATTAN","15"
"07/16/2019","MANHATTAN","16"
"12/18/2023","BRONX","13"
"08/05/2025","BROOKLYN","27"
"12/03/2024","BROOKLYN","3"
"05/09/2024","MANHATTAN","20"
"06/06/2024","STATEN ISLAND","4"
"06/26/2017","QUEENS","21"
"01/23/2023","MANHATTAN","5"
"03/08/2017","MANHATTAN","15"
"01/27/2020","STATEN ISLAND","3"
"03/03/2017","BROOKLYN","25"
"01/11/2024","BROOKLYN","7"
"05/06/2022","BRONX","1"
"09/25/2019","QUEENS","5"
"11/19/2024","BROOKLYN","4"
"06/07/2022","MANHATTAN","4"
"09/24/2018","BROOKLYN","10"
"11/25/2024","MANHATTAN","14"
"05/26/2023","BROOKLYN","16"
"11/27/2019","BROOKLYN","6"
"09/07/2023","BROOKLYN","13"
"03/17/2017","STATEN ISLAND","3"
"07/08/2022","MANHATTAN","2"
"02/18/2020","MANHATTAN","18"
"03/14/2022","QUEENS","3"
"01/25/2018","QUEENS","19"
"12/20/2021","BROOKLYN","1"
"07/14/2017","QUEENS","22"
"02/28/2017","STATEN ISLAND","6"
"09/05/2017","BROOKLYN","21"
"10/25/2019","STATEN ISLAND","3"
"07/09/2024","BROOKLYN","9"
"12/02/2022","MANHATTAN","8"
"09/20/2017","BRONX","45"
"05/31/2019","STATEN ISLAND","2"
"07/31/2025","QUEENS","38"
"03/28/2017","MANHATTAN","8"
"01/19/2023","BROOKLYN","4"
"06/04/2024","MANHATTAN","27"
"10/31/2019","QUEENS","8"
"05/16/2018","MANHATTAN","16"
"05/09/2022","QUEENS","4"
"06/10/2024","QUEENS","33"
"05/03/2023","BRONX","6"
"10/22/2024","MANHATTAN","29"
"07/06/2022","BRONX","4"
"02/15/2024","QUEENS","15"
"02/08/2023","MANHATTAN","6"
"01/03/2019","MANHATTAN","22"
"11/04/2022","BROOKLYN","7"
"06/19/2018","BROOKLYN","29"
"07/06/2017","BRONX","41"
"09/10/2025","QUEENS","59"
"04/09/2019","BRONX","51"
"05/03/2023","BROOKLYN","31"
"03/22/2019","BROOKLYN","13"
"05/02/2024","STATEN ISLAND","1"
"08/12/2024","BROOKLYN","23"
"06/05/2023","BROOKLYN","25"
"10/16/2017","BROOKLYN","27"
"09/18/2017","STATEN ISLAND","1"
"05/31/2023","STATEN ISLAND","2"
"03/26/2024","BROOKLYN","13"
"03/14/2023","QUEENS","3"
"12/14/2022","QUEENS","2"
"04/26/2019","BRONX","27"
"08/08/2024","BRONX","33"
"02/23/2018","MANHATTAN","5"
"06/23/2025","STATEN ISLAND","5"
"09/26/2018","STATEN ISLAND","2"
"08/13/2019","STATEN ISLAND","1"
"05/18/2018","BRONX","28"
"09/11/2018","MANHATTAN","17"
"01/31/2024","QUEENS","9"
"05/21/2024","QUEENS","5"
