"CMPLNT_FR_DT","BORO_NM","count"
"12/24/2010","BROOKLYN","328"
"05/04/2016","BROOKLYN","378"
"08/01/2000","QUEENS","5"
"03/30/2009","STATEN ISLAND","66"
"07/14/2022","QUEENS","325"
"05/11/2010","BRONX","340"
"07/03/1979","MANHATTAN","1"
"10/31/2020","QUEENS","281"
"07/20/2009","QUEENS","278"
"03/10/2000","BROOKLYN","1"
"02/24/2011","STATEN ISLAND","52"
"01/01/1966","QUEENS","1"
"01/17/2011","MANHATTAN","267"
"01/03/2022","QUEENS","273"
"01/04/2023","STATEN ISLAND","82"
"04/15/2014","BROOKLYN","390"
"11/18/2024","MANHATTAN","374"
"11/09/2011","BROOKLYN","444"
"03/27/2017","MANHATTAN","254"
"11/30/2019","BRONX","280"
"03/01/2000","MANHATTAN","4"
"04/04/2023","BROOKLYN","474"
"03/20/2014","MANHATTAN","368"
"11/22/2012","STATEN ISLAND","36"
"06/21/2020","MANHATTAN","193"
"05/05/2004","MANHATTAN","2"
"08/30/2006","BRONX","330"
"05/18/2016","MANHATTAN","310"
"03/29/2009","BROOKLYN","389"
"08/11/2013","QUEENS","285"
"07/31/2000","MANHATTAN","1"
"06/01/2024","MANHATTAN","376"
"09/17/2011","MANHATTAN","346"
"04/26/2010","STATEN ISLAND","51"
"07/29/2010","QUEENS","297"
"01/11/2011","BROOKLYN","409"
"07/11/2003","MANHATTAN","1"
,"BRONX","108"
"12/06/2021","(null)","2"
"08/27/2022","STATEN ISLAND","63"
"10/22/1997","BROOKLYN","1"
"10/08/2023","QUEENS","312"
"04/03/2021","MANHATTAN","221"
"07/01/2021","BRONX","291"
"11/11/2024","(null)","4"
"05/09/2009","STATEN ISLAND","66"
"02/25/2010","QUEENS","211"
"12/17/1999","MANHATTAN","1"
"05/11/2014","BRONX","280"
"06/25/1998","BROOKLYN","1"
"10/15/2008","QUEENS","326"
"03/04/2008","STATEN ISLAND","67"
"03/01/2011","BRONX","361"
"04/18/2009","MANHATTAN","349"
"08/07/2013","BRONX","305"
"09/21/2022","MANHATTAN","420"
"03/31/2005","BRONX","3"
"11/05/1998","BRONX","1"
"06/20/2017","BRONX","298"
"12/05/2023","MANHATTAN","378"
"04/27/2023","STATEN ISLAND","68"
"06/14/2007","STATEN ISLAND","93"
"07/11/2024","MANHATTAN","442"
"05/13/2024","(null)","4"
"06/09/2006","BROOKLYN","473"
"05/25/2012","QUEENS","295"
"07/11/2024","STATEN ISLAND","61"
"11/08/2013","BRONX","286"
"08/27/2006","(null)","1"
"03/14/2011","STATEN ISLAND","54"
"06/19/2023","(null)","1"
"02/19/2024","BROOKLYN","364"
"08/29/2024","BRONX","336"
"06/03/2003","BRONX","1"
"09/01/1999","STATEN ISLAND","2"
"11/21/2009","QUEENS","261"
"09/15/2009","STATEN ISLAND","75"
"08/12/2019","BROOKLYN","361"
"09/01/2019","BROOKLYN","445"
"09/30/2022","(null)","4"
"05/13/2009","STATEN ISLAND","71"
"07/30/2004","BRONX","1"
"12/14/2013","MANHATTAN","325"
"03/19/2017","QUEENS","201"
"05/25/2024","QUEENS","391"
